Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
1.0,14.9246674,1.501435400000001,1.0058087108242688e-15,0.0,275.7446808821025,15.00000017536653,
2.0,14.6994257,2.9877898700000007,1.0830295966814864e-15,0.0,281.4893619572127,15.000000140569837,
3.0,14.3265371,4.444133760000001,1.1493720993273748e-15,0.0,287.23404312888215,14.999999671814935,
4.0,13.8097486,5.855839250000001,1.204169960692679e-15,0.0,292.97872338807423,15.000000323901414,
5.0,13.1542492,7.208726410000001,1.2468726450951063e-15,0.0,298.72340402236216,15.000000282331069,
6.0,12.3666239,8.48920631,1.2770512855118586e-15,0.0,304.46808370605595,15.000000348593163,
7.0,11.4547825,9.68441772,1.2944026942979014e-15,0.0,310.21276690707293,14.999999623258537,
8.0,10.427886,10.7823553,1.2987527058594e-15,0.0,315.95744805938625,14.999999741481135,
9.0,9.29624844,11.7719908,1.290057587446833e-15,0.0,321.7021273923138,15.0000000817829,
10.0,8.07123566,12.643384,1.2684046331086916e-15,0.0,327.44680719692434,15.000000135023718,
11.0,6.765151980000001,13.3877821,1.2340113107249806e-15,0.0,333.19148795358353,14.99999969565261,
12.0,5.391116620000001,13.9977093,1.1872231801076618e-15,0.0,338.93617029944227,15.000000135258224,
13.0,3.9629309200000007,14.4670372,1.1285100733272882e-15,0.0,344.6808510322444,14.999999560762523,
14.0,2.4949402800000007,14.7910538,1.0584618660076048e-15,0.0,350.42553205457614,14.99999998384203,
15.0,1.001889470000001,14.9665031,9.77782042418944e-16,0.0,356.17021288359035,14.999999918413549,
16.0,-0.5012246369999991,14.9916239,8.872810537900057e-16,0.0,1.9148934911890478,15.000000443192894,
17.0,-1.999304289999999,14.8661623,7.87867823851499e-16,0.0,7.6595743257273625,14.999999972465123,
18.0,-3.477302309999999,14.5913801,1.5000000000000007,1.5,13.40425540008897,15.000000152593577,
19.0,-4.920372959999999,14.1700363,1.5000000000000007,1.5,19.148936596517558,14.999999960293895,
20.0,-6.314021589999999,13.6063633,1.5000000000000004,1.5,24.893618206200472,14.99999969635243,
21.0,-7.644249439999999,12.906024,1.5000000000000004,1.5000000000000002,30.638296613146224,15.00000016631721,
22.0,-8.8976965,12.0760508,1.5000000000000002,1.5,36.38297972831572,15.00000019767643,
23.0,-10.0617714,11.1247816,1.5,1.5,42.127660804205846,15.000000311785213,
24.0,-11.1247816,10.0617714,1.5,1.5,47.87233919579421,15.000000311785213,
25.0,-12.0760508,8.8976965,1.4999999999999998,1.5,53.61702027168428,15.00000019767643,
26.0,-12.906024,7.644249439999999,1.4999999999999996,1.4999999999999998,59.361703386853776,15.00000016631721,
27.0,-13.6063633,6.314021589999999,-4.465271466720118e-16,0.0,65.10638179379953,14.99999969635243,
28.0,-14.1700363,4.920372959999999,-5.663785301260808e-16,0.0,70.85106340348244,14.999999960293895,
29.0,-14.5913801,3.477302309999999,-6.805409895499094e-16,0.0,76.59574459991103,15.000000152593577,
30.0,-14.8661623,1.999304289999999,-7.87867823851499e-16,0.0,82.3404256742727,14.999999972465123,
31.0,-14.9916239,0.5012246369999991,-8.872810537900057e-16,0.0,88.08510650881095,15.000000443192894,
32.0,-14.9916239,-0.5012246370000009,-9.4866336852559e-16,0.0,91.91489349118905,15.000000443192894,
33.0,-14.8661623,-1.9993042900000009,-1.032711983778506e-15,0.0,97.6595743257273,14.999999972465123,
34.0,-14.5913801,-3.4773023100000007,-1.106387703910829e-15,0.0,103.40425540008897,15.000000152593577,
35.0,-14.1700363,-4.920372960000001,-1.1689504297335994e-15,0.0,109.14893659651756,14.999999960293895,
36.0,-13.6063633,-6.314021590000001,1.499999999999999,1.5,114.89361820620044,14.99999969635243,
37.0,-12.906024,-7.644249440000001,1.4999999999999987,1.5,120.63829661314622,15.00000016631721,
38.0,-12.0760508,-8.8976965,1.4999999999999987,1.5,126.38297972831572,15.00000019767643,
39.0,-11.1247816,-10.0617714,1.4999999999999987,1.5,132.12766080420582,15.000000311785213,
40.0,-10.0617714,-11.1247816,1.4999999999999987,1.5,137.87233919579415,15.000000311785213,
41.0,-8.8976965,-12.0760508,1.4999999999999987,1.5,143.61702027168428,15.00000019767643,
42.0,-7.644249440000001,-12.906024,1.499999999999999,1.5000000000000002,149.36170338685378,15.00000016631721,
43.0,-6.314021590000001,-13.6063633,1.499999999999999,1.5,155.10638179379953,14.99999969635243,
44.0,-4.920372960000001,-14.1700363,-1.1689504297335994e-15,0.0,160.85106340348244,14.999999960293895,
45.0,-3.4773023100000007,-14.5913801,-1.106387703910829e-15,0.0,166.59574459991103,15.000000152593577,
46.0,-1.9993042900000009,-14.8661623,-1.032711983778506e-15,0.0,172.34042567427267,14.999999972465123,
47.0,-0.5012246370000009,-14.9916239,-9.4866336852559e-16,0.0,178.08510650881092,15.000000443192894,
48.0,1.0018894699999992,-14.9665031,-8.550859691654501e-16,0.0,183.82978711640965,14.999999918413549,
49.0,2.494940279999999,-14.7910538,-7.529198032110248e-16,0.0,189.57446794542386,14.99999998384203,
50.0,3.962930919999999,-14.4670372,-6.431910066852806e-16,0.0,195.3191489677556,14.999999560762523,
51.0,5.391116619999999,-13.9977093,-5.27001808856352e-16,0.0,201.06382970055773,15.000000135258224,
52.0,6.765151979999999,-13.3877821,-4.055191389197427e-16,0.0,206.80851204641647,14.999999695652608,
53.0,8.07123566,-12.643384,-2.7996334149039423e-16,0.0,212.55319280307566,15.000000135023718,
54.0,9.29624844,-11.7719908,-1.5159549783437571e-16,0.0,218.29787260768623,15.0000000817829,
55.0,10.427886,-10.7823553,-2.1704984682050132e-17,0.0,224.04255194061375,14.999999741481135,
56.0,11.4547825,-9.68441772,1.0840357805751038e-16,0.0,229.78723309292704,14.999999623258537,
57.0,12.3666239,-8.48920631,2.3742335202755723e-16,0.0,235.53191629394408,15.000000348593163,
58.0,13.1542492,-7.208726409999999,3.6405827270155717e-16,0.0,241.27659597763784,15.000000282331067,
59.0,13.8097486,-5.855839249999999,4.870364813092852e-16,0.0,247.0212766119258,15.000000323901414,
60.0,14.3265371,-4.444133759999999,6.051226809107056e-16,0.0,252.76595687111785,14.999999671814935,
61.0,14.6994257,-2.987789869999999,7.1713086659944785e-16,0.0,258.5106380427874,15.000000140569837,
62.0,14.9246674,-1.5014353999999992,8.219359051506162e-16,0.0,264.2553191178975,15.00000017536653,
63.0,15.0,9.18485099360515e-16,9.18485099360515e-16,0.0,270.0,15.0,
64.0,-13.797884,-2.348047490000001,-9.886531659240478e-16,0.0,99.65776021827418,13.996246993131813,
65.0,13.8343353,-2.6339189999999992,6.85827698545642e-16,0.0,259.2204680528901,14.082839290831487,
66.0,-14.0105152,0.5010418889999991,-8.272166624241373e-16,0.0,87.95186997511064,14.019471428836528,
67.0,-13.8015108,2.383663649999999,-6.991414982700615e-16,0.0,80.20109329158322,14.00583995192177,
68.0,13.8054924,2.418154950000001,9.93411889883647e-16,0.0,279.93507938490296,14.015673147183023,
69.0,-14.0251274,-0.4402714370000008,-8.857502192060948e-16,0.0,91.79801675049364,14.032036114707973,
70.0,-12.5882282,-0.4022706150000008,1.9999999999999991,2.0,91.83032649888477,12.594654058884178,
71.0,-11.5985117,-0.4608528910000007,1.9999999999999993,2.0,92.27538184671994,11.607663806390153,
72.0,-10.6735954,-0.4231906830000007,1.9999999999999993,2.0,92.27049515476381,10.68198151641722,
73.0,-9.51186275,-0.6056985260000005,1.9999999999999993,2.0,93.64357399517246,9.531128143049813,
74.0,-8.45841408,-0.8875685930000006,1.9999999999999993,2.0,95.99030821688959,8.50485430539655,
75.0,-7.82979298,-0.6662024860000004,1.9999999999999996,2.0,94.86333114943679,7.858083981608357,
76.0,-6.47360134,-0.7104225750000004,1.9999999999999996,2.0,96.26266290902717,6.512466087767324,
77.0,-5.52493143,-0.6495922800000004,1.9999999999999996,2.0,96.70574879143953,5.562988175112135,
78.0,-4.51922321,-0.4688991310000003,1.9999999999999998,2.0,95.92361788182009,4.5434837753485215,
