,Node,X,Y,Z,Imperfection,Theta,Radius
0,1.0,14.9246674,1.501435400000001,-0.3624380611985834,0.3624380611985844,275.7446808821025,15.00000017536653
1,2.0,14.6994257,2.9877898700000007,-0.39641872653041654,0.39641872653041765,281.4893619572127,15.000000140569837
2,3.0,14.3265371,4.444133760000001,-0.4699278188744866,0.46992781887448776,287.23404312888215,14.999999671814935
3,4.0,13.8097486,5.855839250000001,-0.4636210908767271,0.4636210908767283,292.97872338807423,15.000000323901414
4,5.0,13.1542492,7.208726410000001,-0.4862791562952867,0.4862791562952879,298.72340402236216,15.000000282331069
5,6.0,12.3666239,8.48920631,-0.44655196351760873,0.44655196351761,304.46808370605595,15.000000348593163
6,7.0,11.4547825,9.68441772,-0.3915263603973597,0.391526360397361,310.21276690707293,14.999999623258537
7,8.0,10.427886,10.7823553,-0.24596002005584056,0.24596002005584186,315.95744805938625,14.999999741481135
8,9.0,9.29624844,11.7719908,-0.17898873558711986,0.17898873558712114,321.7021273923138,15.0000000817829
9,10.0,8.07123566,12.643384,-0.32762995909225684,0.3276299590922581,327.44680719692434,15.000000135023718
10,11.0,6.765151980000001,13.3877821,-0.48115822599574837,0.4811582259957496,333.19148795358353,14.99999969565261
11,12.0,5.391116620000001,13.9977093,-0.39440062412144666,0.39440062412144783,338.93617029944227,15.000000135258224
12,13.0,3.9629309200000007,14.4670372,-0.17138624442654743,0.17138624442654857,344.6808510322444,14.999999560762523
13,14.0,2.4949402800000007,14.7910538,-0.15374788586102506,0.1537478858610261,350.42553205457614,14.99999998384203
14,15.0,1.001889470000001,14.9665031,-0.3669594704447528,0.3669594704447538,356.17021288359035,14.999999918413549
15,16.0,-0.5012246369999991,14.9916239,-0.4482196336307823,0.4482196336307832,1.9148934911890478,15.000000443192894
16,17.0,-1.999304289999999,14.8661623,-0.4924763267351761,0.4924763267351769,7.6595743257273625,14.999999972465123
17,18.0,-3.477302309999999,14.5913801,-0.4712697456342947,0.47126974563429536,13.40425540008897,15.000000152593577
18,19.0,-4.920372959999999,14.1700363,-0.444215015725064,0.44421501572506455,19.148936596517558,14.999999960293895
19,20.0,-6.314021589999999,13.6063633,-0.28640585025787535,0.2864058502578758,24.893618206200472,14.99999969635243
20,21.0,-7.644249439999999,12.906024,-0.3589710782136281,0.35897107821362845,30.638296613146224,15.00000016631721
21,22.0,-8.8976965,12.0760508,-0.3897553618948968,0.389755361894897,36.38297972831572,15.00000019767643
22,23.0,-10.0617714,11.1247816,-0.3091253142270401,0.30912531422704015,42.127660804205846,15.000000311785213
23,24.0,-11.1247816,10.0617714,-0.14284160105765537,0.1428416010576553,47.87233919579421,15.000000311785213
24,25.0,-12.0760508,8.8976965,-0.198879535782426,0.19887953578242581,53.61702027168428,15.00000019767643
25,26.0,-12.906024,7.644249439999999,-0.3882135299402859,0.3882135299402856,59.361703386853776,15.00000016631721
26,27.0,-13.6063633,6.314021589999999,-0.3278801907035504,0.32788019070354996,65.10638179379953,14.99999969635243
27,28.0,-14.1700363,4.920372959999999,-0.10572996136135623,0.10572996136135566,70.85106340348244,14.999999960293895
28,29.0,-14.5913801,3.477302309999999,-0.026145282900239847,0.026145282900239167,76.59574459991103,15.000000152593577
